dsample,RMSE_LOO,MAE_LOO,R2_LOO,RMSE_surf,MAE_surf,R2_surf,RMSE_bLOO_out,MAE_bLOO_out,R2_bLOO_out,RMSE_bLOO_res,MAE_bLOO_res,R2_bLOO_res,RMSE_NDM_out,MAE_NDM_out,R2_NDM_out,RMSE_NDM_res,MAE_NDM_res,R2_NDM_res,outrange,resrange
sregular,0.09292159062486267,0.0738210238238534,0.8480394561891822,0.09654098592835506,0.07331872558618152,0.8538343865891243,0.15467232643445963,0.12489250915245351,0.5094400531283757,0.12459309330824249,0.09541564685528733,0.7069498343275901,0.09242252847740064,0.07227997472289553,0.8500722293086591,0.09233010060001774,0.07320487013704997,0.85032369110608,208033.51404268242,121939.45537608625
wregular,0.09287303958353585,0.06942316750596852,0.8423445248157713,0.0976850742303914,0.0750859988850928,0.8772874251319803,0.20339146713146136,0.16390056969341593,0.1519950308550347,0.13202503720514305,0.09764681186558365,0.6345645355433395,0.0916859926951675,0.0679148464420251,0.848815959262416,0.09360623750786165,0.07019079926788882,0.8447219782575627,355984.20114609547,120503.23683399655
random,0.09810775527156236,0.07436709452423577,0.8438917133430391,0.08921870064657611,0.06660093383054912,0.8932084641745469,0.20104480327799445,0.163575469917031,0.29600069798187933,0.12442563444226627,0.09965718174788481,0.7495177227580884,0.09903058468667066,0.07556662206279113,0.843889121283743,0.09638241805388913,0.07440375956786176,0.8571117725211601,250035.86724598726,95090.31610542902
wclust,0.08370167461601644,0.05969409821596851,0.8562830400318149,0.17387732174447912,0.11658050452682146,0.5067223283752913,0.1420167233067688,0.1157035837676058,0.5195949826451198,0.14396005925502453,0.11518085989355109,0.5089667616848111,0.12097538805019639,0.08094419904124614,0.661311180340009,0.11932248582716944,0.08087338126667543,0.671419594486758,164843.1565815951,155374.14649004725
sclust,0.05371042555329096,0.03395282933837269,0.9030074030247044,0.16385778109650714,0.11601929062433904,0.5826492703526449,0.20108579261339588,0.14831534963057533,0.012674297950678199,0.1654897482793592,0.12731158386453056,0.28177917311092593,0.11428391567627227,0.07556491740001055,0.5649912315045712,0.10519294036107975,0.0718004262599675,0.6293290316941367,664394.5507667478,143698.05249073607
sregular,0.09344980343321363,0.07187730308893833,0.8766078116108424,0.07797756799270585,0.05937160907517449,0.9184712203356558,0.17229417346699344,0.13724003720565364,0.42868498539628114,0.15035009425970317,0.11843775175170043,0.5759680257605699,0.09434292459644575,0.07376918549009172,0.8719332038246207,0.09198796901166094,0.07195209759501157,0.8821676892094994,212088.20022293986,130692.25021326124
wregular,0.08477653703007709,0.06068332373403322,0.8667960054608232,0.10100969761599234,0.07267214574142732,0.8332939814296498,0.1659008256299245,0.12548549941446943,0.39118268097174724,0.1210780959524085,0.09604923953019394,0.6826526694717601,0.08833067106494724,0.06619369971913441,0.8542841897567625,0.08970425339372264,0.06626986642395766,0.8486360815088541,239311.1291296174,118879.13593885765
random,0.09359128621658709,0.06850899507983743,0.853153024259902,0.0902567526691121,0.06897143390206353,0.898410332526159,0.22464904104472816,0.18446329486363255,0.056023527038417696,0.13905996748582836,0.10213086960791766,0.6337457590401996,0.09507219908425753,0.06991156824424709,0.8539093318157974,0.09492227333350414,0.0690827300192369,0.8493307503241935,302377.3938826534,108227.74288519868
wclust,0.0951766082980223,0.06431466911075481,0.8552456637102268,0.1114361598993364,0.0841175721509593,0.7932375626754818,0.18926997067461226,0.14768264688840135,0.43381879648298466,0.16629375802757604,0.12572316295921027,0.5394183807522736,0.1191010738834936,0.08243348680035367,0.76823789913015506,0.11699344724647422,0.08233702613937824,0.7756361453398499,233554.09158387306,113774.56024031281
sclust,0.041432751040768274,0.029262933787256497,0.9370735211529532,0.17760373292134302,0.12915071720776172,0.4583223438792635,0.1737614744579912,0.13908104641998806,0.09532734477256039,0.12277457406079777,0.10056993989363314,0.43863371855248573,0.10166038871462331,0.07551302897140383,0.6046293008982268,0.09450159424754855,0.0714785922405372,0.6482355618464365,233830.5512831189,130633.4495067241
sregular,0.09728027312731297,0.0754698146750601,0.859313909548048,0.09552970147156527,0.07187180416477279,0.8613088101531574,0.15002397861455274,0.12349739148578297,0.6199476378374195,0.13767580551468023,0.11143836250747961,0.681680271100242,0.09682835591126823,0.07540583389466167,0.8648450160825443,0.09734689065714015,0.0741428518303596,0.8573176528132489,173557.14853802347,133098.7772066952
wregular,0.0881213313050813,0.06767688253993538,0.83576500354502,0.10471328241606523,0.0786250908108465,0.8355508938194891,0.13164342184185582,0.10855784671428467,0.5981853180648393,0.10973677441488094,0.08934948238962792,0.7364422102706173,0.08702428904039554,0.06769233754778953,0.8375020058869616,0.08533660693726863,0.06551199544047753,0.8442819290512005,210992.24570649327,94732.71564072851
random,0.09430478009527485,0.0750750728402349,0.8941219718834907,0.07768442128298747,0.061386871049267315,0.9007523018450522,0.22985219771977866,0.18613940054594227,0.1947004772259692,0.17142762542200313,0.136714009079334,0.5413075762812011,0.09703144190355997,0.07802806081150036,0.8839230758491268,0.09451869402603504,0.07500028398168583,0.8887129435310762,253536.3354431895,131843.43181814445
wclust,0.08734222200366873,0.06099661102580994,0.8872874851085145,0.11126247404785239,0.08003422562698115,0.81209885570263,0.17194669196992834,0.13084725132796296,0.4976161415523128,0.1738291122745765,0.13127186172794242,0.4854318547490701,0.12167314092560189,0.08308474385137361,0.7511908869003543,0.11970198731893063,0.07991836636183318,0.762233170922659,125116.53946453425,127355.43765150469
sclust,0.07580669470766806,0.054039054661477716,0.898827496362256,0.12215416424923131,0.0900714033785305,0.7352079275699293,0.1708838154187218,0.13104687443792865,0.3337503587323484,0.16126764746191397,0.11677849897531582,0.39874711733416185,0.13703506388634357,0.09344264054166965,0.5886924461334367,0.1299692221320218,0.09000241519160868,0.6322064509341636,155565.54797167948,82124.81511262197
sregular,0.09549443903790808,0.07552684447216945,0.8678195746745376,0.08482964467616068,0.06523619899102508,0.9117068863843277,0.1524965969181144,0.12667273551053534,0.5809408459475492,0.1353216013173052,0.1096073710241266,0.6871566162692502,0.10181893836136521,0.0798617532966173,0.8338310573734032,0.09599581967886825,0.07478090648431786,0.8602736696254065,205835.19307695402,122284.16462018115
wregular,0.08726235367342228,0.06463810720606845,0.8866088344236871,0.09191105258078659,0.07030657894048283,0.8622866982017289,0.19357369889556353,0.1634426152612891,0.3985760640556438,0.1256381144885863,0.1014692033005943,0.7480123579210163,0.08731926960657581,0.06366191983231262,0.8866107431592868,0.08758863875918518,0.06408475682030283,0.8847178212751783,295665.5960982645,120010.47116966634
random,0.0964587384591366,0.07387863717189756,0.8952648236529692,0.07884552842739985,0.06288794186433866,0.9134785507342487,0.16771179071304362,0.13605935705189554,0.5963674665478723,0.1607120799246731,0.1281927771996214,0.6376546477709221,0.1026063217533803,0.08003108391248152,0.8757530025846587,0.1048556140256784,0.07934180300354783,0.8661445589270758,153059.7267549852,137529.66417819663
wclust,0.0752715129340019,0.06151284552766943,0.9028209365403416,0.11756212436082157,0.08539298637670466,0.7571092329147895,0.11980581075593554,0.10142433309942638,0.7362088367767372,0.1134016155282468,0.0957559049169595,0.7563721131869303,0.09132016746842389,0.07438602767920743,0.8571164027228301,0.08722161652315263,0.07190834007270012,0.8723647628855161,104575.22340682802,80185.97601461895
sclust,0.06248401268916198,0.04499922411096591,0.9351368023454079,0.22054694624454813,0.14958640852676125,0.3558514097179227,0.30193847279474895,0.26589698031348485,0.20587838849307938,0.10456547352527129,0.07687274707823992,0.8012942768982171,0.13552937839961102,0.10080793779643873,0.6324434172923128,0.08440187363578916,0.06005696820169688,0.8709045945292175,284676.7263673845,44780.8801970532
sregular,0.09645038422060896,0.0734873385836668,0.8554711766269044,0.08395362501541158,0.06500677773674204,0.895108675889795,0.17879787817689222,0.14756358563263108,0.4452259674348391,0.1470930134601225,0.11899034661855357,0.6234243239558344,0.10021297215976863,0.07741549874298735,0.8421871553840252,0.0996525059019613,0.07849062838565392,0.8391464997512924,215552.09034182382,143919.40246183358
wregular,0.09966337856740963,0.07007618130158275,0.8083822060869335,0.09097185214900576,0.06787228675807011,0.8983736824101223,0.16951085579584355,0.13239740540935557,0.37883015501799905,0.15410974619311182,0.11939224165048537,0.48264424295370184,0.11034274808070704,0.074511289791244,0.7543013803048095,0.10692235331843088,0.07166911797841441,0.771087991626425,215909.57483761827,162384.45184897722
random,0.09200751518338543,0.06864903198413551,0.873211827955339,0.08332766306566546,0.06550497682578915,0.9142507588706456,0.19188150960705697,0.15603998810575653,0.28795717109664226,0.1665100707075096,0.13056675658748795,0.45052250409256406,0.0965507312835793,0.07285362240616233,0.8470463284624472,0.0959877383741373,0.07155067913349718,0.8533325144360476,222188.9201780645,158508.46534924317
wclust,0.08196898008081303,0.0592526198531439,0.863776470778376,0.11154049914298694,0.08606333617684986,0.8352920831238834,0.16313312072067265,0.13879847186083596,0.4023746651500924,0.14137744152025522,0.11393880007823307,0.5857118883013479,0.09409350438945611,0.07305316351357848,0.8237547436354427,0.0949025163367344,0.07198832032949974,0.8224708060201321,210632.6389892848,105864.11173630874
sclust,0.07611013873022993,0.055187046055200834,0.9278242623956358,0.13616101203872755,0.10045072740412131,0.7020190520743185,0.12643979493566554,0.10472210507455904,0.7872299377727778,0.11673163798821007,0.09022578893225332,0.8114168012705272,0.10483442090523849,0.07856414939250177,0.8488125333031842,0.10257311041086466,0.07553800118001487,0.8535789609015577,113596.13521348903,59761.69599608533
sregular,0.09586164463535614,0.07297934875738821,0.8395462709501179,0.09223588768631316,0.0680132020193689,0.8836170038955183,0.1693928108870408,0.13867699519625062,0.41305347407753734,0.14253651590270544,0.11504378145906938,0.5867709242189044,0.09496231686207562,0.07287792133380339,0.847404980894367,0.0929904972651559,0.07199434369489657,0.8485339724528713,220754.78686697068,131505.7101276237
wregular,0.10777253293359115,0.08226387590697655,0.800051950275262,0.08626056481744139,0.0678123048354297,0.8862206254734841,0.21672892689585604,0.176399632423607,0.1632255622734325,0.14322275783010013,0.11494447785507887,0.6145581153965585,0.10242895772733893,0.0794854894798994,0.8227145349179438,0.10478694327794655,0.07924887941984461,0.8132213971088833,334695.9904214028,145935.7965814578
random,0.0956613106571195,0.06922751487258356,0.8573802147810644,0.09285044863559642,0.07075804192532671,0.853597893596074,0.15024742854754047,0.11182480514925594,0.6227056510297182,0.14097581448092936,0.10435043022996435,0.6712689038006879,0.09825830257812089,0.0682625063818476,0.8489963310946259,0.0991836513191005,0.0691141582886378,0.8438946839672196,201132.934606398,171039.46467189025
wclust,0.08308452321487506,0.06162137601802437,0.8877164393286975,0.1016838678154012,0.07776047842985376,0.8260787014453476,0.13475714757951052,0.11140362456952221,0.7002945006030541,0.10501162335754449,0.0855191579381749,0.8220856916760364,0.09007585409667848,0.0695200051717305,0.8636056858830288,0.0918106916621043,0.07158598779707837,0.856917060237905,139130.83813254503,73141.34195202548
sclust,0.0792577588797756,0.05285242397655422,0.8953560945385797,0.12253610652157974,0.09541871614145014,0.7967290298623689,0.2592103165428575,0.20987360562503338,5.194480200783224e-4,0.1562755588374339,0.11272742258337637,0.5376393390087467,0.167632577556667,0.10741625910818577,0.47327120313951804,0.1335059900719239,0.08815791288840893,0.6697387633489598,197079.95678169842,102233.02409739379
sregular,0.09542598592602468,0.07559455912427977,0.8742405814866591,0.09454639613170235,0.06904439353065651,0.8589629197706824,0.13664222302899645,0.11400637292026852,0.6838375595292199,0.13011059368565897,0.10844931921790198,0.7153793466798678,0.09645341113478022,0.07819036032939639,0.8627030028878321,0.09569392600963002,0.07587529195810512,0.8657199183691157,157992.04213001567,140235.08902210332
wregular,0.09260351729073169,0.06799484040116581,0.8601260705436138,0.08262316149305499,0.06360387753989644,0.8997919302665908,0.16228439952587845,0.12728400109251184,0.5148605632414749,0.13674412918458032,0.09945496271354767,0.6532021466827417,0.09645487757800021,0.06923831103765403,0.8444128884946376,0.09670889957535159,0.07062597379105322,0.8491915772709816,246518.69642888807,106623.6870619153
random,0.09113206609228125,0.06906584799125483,0.8819851960417168,0.08965363927511308,0.0699152666231297,0.8880769284115172,0.2237956963222888,0.18440343318181734,0.23958257639636507,0.14140845771531643,0.11005927166011184,0.6603426533464101,0.09647369812207326,0.07388100143544686,0.8636562017936845,0.09514901063335364,0.07362346339873349,0.8715184674468388,330314.1125557072,106531.20828653788
wclust,0.0760478153098394,0.058533892603066434,0.9111129131011977,0.10245685266009356,0.07528169509312532,0.8234228867350001,0.23148962184783647,0.17703139807641505,0.11632048615884612,0.18526229722153675,0.13697972090413793,0.38340149441383836,0.0956515881366247,0.07273079742060663,0.8599488995651237,0.09113741271760549,0.06953702849974544,0.880688898968163,223648.72180316848,122542.88306497781
sclust,0.08728799189158593,0.057673790680952394,0.7735724189485712,0.14629643902181477,0.10960692319770651,0.7166315531820804,0.20129768871637496,0.1653321422337244,1.942066870156346e-4,0.17986627772986138,0.14088926141930122,0.04029105566045052,0.1353495603117204,0.09424478587773939,0.40765915097961397,0.1327397567579771,0.09364911223822585,0.4297145812523696,315107.30596396193,162276.87600060046
sregular,0.09845425514741224,0.0741757846585685,0.8375185297504757,0.0890648523272892,0.06855141011688344,0.8877731388963194,0.1683145651729057,0.13217149382015933,0.44792998801631784,0.16084589047744502,0.12316931978629131,0.4909357671669678,0.0985256872363296,0.07511272258348826,0.8461878898483765,0.10118275613382828,0.07585015294539994,0.8307542064864303,188969.71614044363,148865.57556407485
wregular,0.09931902849812821,0.07148795348019416,0.8182263823168215,0.10470376258278223,0.07927948690189737,0.8555199070729476,0.1580007861150617,0.12417221116802889,0.47602967632393145,0.1166311739590803,0.09265142435590967,0.7558803961516567,0.09551419379809087,0.070303672548177,0.8376155949743666,0.09743404267533366,0.06993329699712961,0.8315248937173122,205308.3533285982,90456.08740175892
random,0.0929891059212018,0.06919217020639841,0.8828226221764333,0.08470635761018312,0.06567117793748757,0.8803986565634973,0.20024273990521327,0.1599853083005765,0.31692140419796355,0.17771819279476536,0.13684823983410063,0.482617701530002,0.10282044787951983,0.0763241822327301,0.8486814802000859,0.09881017068946772,0.07555943597093535,0.8658181486206329,227696.73107049393,155148.10363008757
wclust,0.09373996410829473,0.06549766887838643,0.8564341203975594,0.09430730520273456,0.07205715577999824,0.8903053965713921,0.2175044533689451,0.17455109385271866,0.15457306760471534,0.21259697488090112,0.16568934184315307,0.17903360497765125,0.12185212832246663,0.0832346342931688,0.7181159329413427,0.11635930704443659,0.0805866820473472,0.7491042806685047,238924.5940768202,212634.87870285645
sclust,0.06671995591423156,0.0445339184949547,0.8655238084241783,0.14220521522408722,0.10962102329407462,0.6979327204609439,0.2216725216518964,0.17827518403852982,0.001486532488260276,0.12963369771402658,0.10330860665531208,0.45604634430520175,0.11712881519213242,0.08104389357322206,0.5323280043731454,0.0993423937689772,0.07171066100501768,0.674379910052025,292619.84245315945,126891.39079373091
sregular,0.0910344113356507,0.07161015221541621,0.851710245168918,0.09746351138993446,0.07272008784057495,0.8643613676296444,0.16767159568205367,0.1377033648570084,0.37345643124370653,0.12168574729074881,0.09489764374892325,0.6843277208370381,0.09031622375277006,0.07082724590992764,0.8556645705459817,0.08986881231378228,0.07194305201641657,0.8541355157106172,231306.63378544748,96843.19406323091
wregular,0.08992541345893716,0.06710911895749093,0.874835085316444,0.09786489867994551,0.07320723386641712,0.8645356536383256,0.19917290797045578,0.16194548166159742,0.2980818462942781,0.1643200879798738,0.12703249499870478,0.5221896230246311,0.08806329066321965,0.06629793914731809,0.8816384633237031,0.09105693991350683,0.06891958050063955,0.8721165142133928,250222.60137404167,150554.0227228668
random,0.09413885110920357,0.07188524588029521,0.8684409306663,0.09311911482598775,0.07008711778511767,0.8590003976150694,0.20453124031588063,0.16706039368417736,0.34771755808872584,0.1265452681013632,0.10302715059529059,0.755422622336089,0.09689832107229984,0.07353794677492544,0.8589829613995602,0.09719556411929088,0.07474906142981722,0.8605728537435995,307851.2880169771,99666.5691189064
wclust,0.0822777873241111,0.06480809901028872,0.8834670248765081,0.11387656052893164,0.08376460491094938,0.8433256590124661,0.20933751705639422,0.17628663905027012,0.025734727376822877,0.20458403512688336,0.1704825846747061,0.048895646513090855,0.10748311024023974,0.08104729949019851,0.7437968310184924,0.10370371659111116,0.07808525472305713,0.7732894503000386,234180.15340353246,222611.0868498692
sclust,0.061659551769371844,0.04349125698535391,0.8885065814449522,0.15078902759095025,0.10860878827260265,0.6295075823849189,0.15855253745922646,0.1186939589605232,0.15730988420664613,0.12319655912840886,0.09647306039088716,0.521489822918458,0.11920713226116814,0.08450304820697754,0.5665065987057702,0.107989068138972,0.07796926447073618,0.6708748613835395,163508.1880545361,88780.98612458124
sregular,0.09399100991802056,0.0758582975490638,0.8429629694574309,0.09496431942475113,0.06820205238408922,0.8614955183298916,0.16619516745500865,0.13388791715141782,0.41948694766654693,0.15267066840043264,0.12217798599614056,0.5133384145772067,0.09762898895893704,0.07907560060380998,0.8297888526480021,0.09534128585252885,0.07728796646613796,0.8409160084848276,206651.68856617121,177381.07887277196
wregular,0.0948869955970898,0.07276947572502328,0.8613310261781686,0.08414167643250238,0.06484756462922077,0.9091257306964351,0.22830949370891293,0.19446966701524956,0.14291921310039502,0.18701733384217606,0.15338987640508445,0.31714862354506473,0.09283501326586871,0.07310585292094136,0.8666395968586583,0.09385686845345094,0.07454958824722212,0.8618199758623769,331932.0419657929,209486.68204079225
random,0.09223022478913016,0.06930715063255746,0.866678271197076,0.0861506569377172,0.06508747544490613,0.9047372764265283,0.17186078606654784,0.14082200204754794,0.4193968338079594,0.16409893236861942,0.13324913755083767,0.4650235999407061,0.09309653491431001,0.07132578237783764,0.8631150216109619,0.0959486051228747,0.07385222373525129,0.8464420427057819,181097.83886198353,162369.8889083089
wclust,0.08424926902861277,0.060406630909989274,0.8559349387143874,0.12110270160645581,0.09280496563388445,0.8538954228527651,0.13220587651402674,0.09610194877497852,0.56385274112885,0.1374699148853286,0.0983159915911903,0.5128408105367764,0.10480834726104145,0.0753326079557091,0.7641242604499697,0.10550143359219347,0.07597377378642559,0.7558952325340442,79563.83762773278,84231.40058428336
sclust,0.06954408537660607,0.04971393921298286,0.8900966821792394,0.1383391534403834,0.10172901133025176,0.7289477887313738,0.16861050923188478,0.1367169552709659,0.26709459746891584,0.1333910544742746,0.10384440252527595,0.5416713031851942,0.129258959599127,0.0985208847463131,0.5873949091802025,0.11046414020567316,0.08275102620447675,0.7023292591528293,126826.83312401501,71095.78956995359
sregular,0.09148518300535381,0.06850784841581897,0.876356407757932,0.0899402828291933,0.06688427402474378,0.8698727656622558,0.1693714958637822,0.13394724020195417,0.5091663846242083,0.15442276771210856,0.12030231987057997,0.5843158894210247,0.08985379611592115,0.0678321419644011,0.8830091528647359,0.09063152666904162,0.06905668910954367,0.8800608825766996,206827.92621624377,159295.22649842486
wregular,0.09180730203266056,0.06899282093424972,0.8620140884047799,0.09074181568863275,0.06785643982513999,0.8751382424262142,0.13853349307704352,0.11623261911289379,0.6430086114530692,0.13702665883076423,0.11534687238173327,0.6554018021589162,0.09740188182204587,0.07127640944856141,0.8472150658905646,0.09825833976740482,0.07194659716054642,0.8426369439914283,177170.99223473744,163632.53532199672
random,0.0957414897377751,0.07642991886822041,0.8786375169080921,0.08075019973663461,0.06427484505811469,0.8990233219319061,0.18209314689190792,0.1343504591301751,0.45049663462519013,0.12965627906886362,0.10372097994717458,0.7441443385342368,0.09746720525576945,0.07882111106064325,0.874615339364686,0.09556518100167458,0.07625425507931038,0.8844725975651542,207743.0005277461,76283.88063268551
wclust,0.07863952670980946,0.056119594835229235,0.8731296516426806,0.10384866643890578,0.0773946003768916,0.8359032424159589,0.14152140507197258,0.10105382330980774,0.5046310819274745,0.17071023030876661,0.13001516725619636,0.3117668976706323,0.09243380556329231,0.06583697239906837,0.8114879753966465,0.09058715137891285,0.06439779057472322,0.8247815206931599,92397.05187863046,139518.5130943206
