"range","nsample","dsample","RMSE_LOO","MAE_LOO","R2_LOO","RMSE_bLOO","MAE_bLOO","R2_bLOO","RMSE_NDMinter","MAE_NDMinter","R2_NDMinter","RMSE_NDMextra","MAE_NDMextra","R2_NDMextra","RMSE_inter","MAE_inter","R2_inter","RMSE_extra","MAE_extra","R2_extra"
20,100,"sregular",2.62747153866028,1.97032553328527,0.1145959731054,2.67195996585286,1.97636676101746,0.080728373514075,2.66083711003733,2.02415309242949,0.0886039457588426,2.677310178673,1.98746923730668,0.0771752827152464,3.11341747279564,2.37062312651633,0.152141632594194,3.22968913606165,2.5409206987489,0.00427952977670187
20,200,"sregular",2.86858594600953,2.21378798966209,0.269959361931284,3.04026455946202,2.35382034670834,0.163520872899852,2.89064902940485,2.19764117282143,0.255695497282744,3.03566652796945,2.34364209881002,0.16610930048729,2.67558543900026,2.03588502066875,0.407796042330838,2.91809219563797,2.27469306144448,0.155769831511939
20,300,"sregular",2.86525711152651,2.19645785676269,0.312874943935009,3.0967910095452,2.35387896996914,0.176227839251497,2.85330146794825,2.21495201298945,0.317329707614737,3.06670198032702,2.33762865348455,0.194323994344113,2.574849794042,1.96891095599458,0.454272121313457,2.82987287195352,2.21737865254041,0.215054986963114
20,100,"wregular",3.00716017877366,2.29710034706707,0.197247874372652,3.11903296415499,2.31004382634419,0.134830454092961,2.9492028847438,2.25218175397652,0.236037641539369,3.08678328416013,2.28751930016453,0.153813350476762,2.97957247076905,2.28253633202148,0.223820758924772,3.0842437001326,2.42662642071484,0.0736425415802006
20,200,"wregular",2.62508357056925,1.99880052692343,0.413273522881968,2.9725580383692,2.231633956934,0.227657153293495,2.6475713103624,2.01077034956271,0.406777867480463,2.97466387831324,2.24483497287411,0.227515826001533,2.62847649723159,2.00963181359424,0.413949112225617,2.82302363693813,2.21191209161483,0.211755011803687
20,300,"wregular",2.69993139175823,2.03778337398686,0.386872812996907,3.11672485432254,2.35704167512959,0.139986907546455,2.72857561163537,2.06378419209306,0.370351625411296,3.13363151728969,2.38520602423024,0.130163066265454,2.54047718403277,1.94973867655798,0.484489756598775,2.85659729585129,2.21579088325421,0.194098743588188
20,100,"random",3.00904870965617,2.37552635501096,0.0998065403654479,3.06484190993655,2.38389487987132,0.0689404480862981,2.95623654242418,2.28031559892753,0.132959774722389,3.04682725474715,2.40246245807427,0.0779409848899932,2.9367844684741,2.23821626634767,0.254074172504141,3.0222646842561,2.37276976175708,0.0945786922200892
20,200,"random",2.61664655226243,2.05610420751132,0.358340229931547,2.95874697417713,2.29584575565358,0.151512970260847,2.60082593473784,2.01831180728327,0.361998773938238,3.0049332650037,2.33700770299199,0.124831069113426,2.84915538998216,2.19237051829066,0.291274091052367,2.95885917689981,2.304607900487,0.132968492347398
20,300,"random",2.5645690578689,1.98614378702408,0.452323533843239,2.97582163448801,2.26300235503745,0.190397359123414,2.5353605126348,1.95767114110472,0.472639583704177,2.98427037826016,2.27239453819088,0.184957753836276,2.63229878192558,1.99529358187164,0.429567259448838,2.89211187205945,2.26378778652654,0.175041252500131
20,100,"wclust",2.3026683888204,1.70312167317573,0.239670963105151,2.54078082908784,1.86149718896352,0.0685744504854483,2.49197880462214,1.88832437520782,0.103160041495346,2.56116188042189,1.84903365551068,0.0566352747978155,3.09919907815473,2.37212567614338,0.190308037428704,3.08588303480037,2.42797189726609,0.0592462145943774
20,200,"wclust",1.96524845170917,1.49626549249457,0.709034754496558,2.89513931388607,2.2594638945659,0.306439681684982,2.7864151949509,2.16398239136541,0.353074665630111,2.91810904947451,2.26716429944431,0.291312819281459,2.95439915435258,2.25533028850416,0.224095449234747,2.96036084294566,2.31576226530895,0.145464120672661
20,300,"wclust",1.86267955913943,1.39386198347103,0.620359084153789,3.0013789951738,2.29305280942478,1.86571838582901e-05,2.67239245554047,2.02022646297485,0.101998162602428,3.00994873314486,2.29994012427962,1.93357917247749e-06,2.88904291181678,2.18500260314263,0.280745098595434,2.98969205785125,2.33520185282651,0.116216388863988
20,100,"sclust",2.04870262659551,1.57826011187268,0.336366634757193,2.52713754507,2.0180465596804,0.00691247229143199,2.49088916911983,2.00411840388381,0.0227316369277297,2.51243903994193,1.99236873958497,0.00925519068545018,3.20238147726828,2.43657154330091,0.124363961604299,3.15561051420727,2.4751407145761,0.0430631197783574
20,200,"sclust",1.87923492572776,1.43619602294153,0.625475508840748,2.94225295212975,2.32578612752861,0.0268634148015997,2.8044270399881,2.23048333311783,0.0909050906724605,2.92763262581521,2.31741290275894,0.0269955514682849,3.16374855004774,2.41099876551009,0.1830794904835,3.14178679458497,2.45431874765206,0.113614525996573
20,300,"sclust",1.81180222376738,1.34588738489391,0.762219111809721,3.24685925155564,2.61706651962259,0.15987218352853,2.99126384687063,2.35351969687794,0.284329102780554,3.18629001757822,2.57224475256595,0.202152248082051,3.01274079016666,2.28832491434911,0.194814131497711,3.004874912929,2.34097150609552,0.11713807426138
20,100,"sregular",3.15916978760645,2.48228521879022,0.0368208621825262,3.23914943988232,2.51748854581302,0.00985051217332775,3.18538717245068,2.51729918363964,0.0265346164680519,3.279754970837,2.52635347490238,0.00174673220085201,2.96455712200644,2.32445937344794,0.235271668763345,3.31318202400006,2.57295871028116,0.0745198142114183
20,200,"sregular",2.97886222621511,2.33309489154108,0.322828563090307,3.16294605098018,2.4571480732234,0.223179810507778,2.94940456178822,2.32965644176449,0.348549133592756,3.20399449482651,2.49659504009173,0.196869501748208,2.62657154223227,2.05877329382689,0.413021962022946,3.03548625587397,2.3400405140618,0.232138722475451
20,300,"sregular",2.83067626559278,2.21237259971031,0.32302561647885,3.16292186951305,2.47784754415226,0.111405790381749,2.81441201653175,2.21878875446044,0.334777181957284,3.14709482120762,2.47517764935508,0.120347468824851,2.45658260727078,1.93412590834757,0.532132041401065,2.95245304803237,2.28793168121533,0.287035664278231
20,100,"wregular",3.16983578125073,2.47558374264915,0.121240311397634,3.33135018909777,2.60167017895921,0.0439011113419042,3.21902304792519,2.51466878532908,0.0940338961765108,3.46016081671427,2.72163922321206,0.00768806655158816,2.83329902916031,2.23083823613307,0.315834313805918,3.22371095962798,2.49210776238889,0.113138242666428
20,200,"wregular",2.79978720611205,2.15886731909333,0.301627001840477,3.30256665645179,2.46354658033139,0.0183599591217994,2.81931069703527,2.14654246084039,0.288101363414111,3.36518557251967,2.51508450618125,0.00633607366776761,2.64843139294626,2.06338753658964,0.426595219294315,3.07963816519944,2.36676028177617,0.201514305976589
20,300,"wregular",2.65020203028208,2.09805860313432,0.376306679862105,3.0116578574903,2.42797446622139,0.142859655231332,2.65189440740931,2.11438874106537,0.373872991737985,3.02719375264109,2.41822968627168,0.132135747599183,2.57351533706888,2.00775231334562,0.490082273664656,3.0097336222495,2.33644091297428,0.27857983846135
20,100,"random",2.68929543976676,2.12585669421562,0.173133733746003,2.85925029848715,2.23604748633705,0.0571933394306462,2.73376564648682,2.16295994173085,0.139832975591371,2.88412381058402,2.3117682594258,0.0433976269350895,2.93393100144412,2.29365487333544,0.25937700008572,3.11346078238763,2.41622712615201,0.229697058489624
20,200,"random",2.50908472983067,2.03041129358324,0.241323507730016,2.85199743740174,2.32176530785364,0.0212030331144463,2.50631949235263,2.03417881410056,0.243839852058004,2.85416928248915,2.32966070491509,0.0204272002156019,2.7974897814355,2.16600982210967,0.354169050080155,3.18499838085122,2.46617732975889,0.189132773612435
20,300,"random",2.662258068385,2.06957725360407,0.500994365784013,3.23972929427847,2.55240156624792,0.167552823464823,2.67668303653524,2.08571631197992,0.499225045241772,3.2709914039346,2.55291878546121,0.150612949079318,2.45968151208699,1.92895400463611,0.48818881452644,2.97524175652899,2.30825435344724,0.270742372898929
20,100,"wclust",2.63889678133862,2.068829825555,0.512222219959564,3.48977937786316,2.79636872608018,0.0894269129728696,3.05716908868971,2.4441457884386,0.333528846333165,3.48522139269106,2.74781367678821,0.0921451593804933,2.88658700037639,2.26830404459974,0.249258046428333,3.1872845523178,2.47182507680612,0.148187388670263
20,200,"wclust",2.00550327401844,1.53758454978677,0.577980143662875,2.79592499057728,2.24826555666603,0.131620223029754,2.55185333303728,2.04145033385487,0.291014986121901,2.82084886853363,2.28255962401618,0.116465295163999,2.91009764152025,2.24853777438252,0.239643717942755,3.2918771078236,2.5224729568275,0.0810640970135105
20,300,"wclust",1.95148497358073,1.46336006732463,0.716070465681445,3.06856739533181,2.38746136509175,0.25795222152557,2.70982149827343,2.05137695083288,0.431862695283796,3.08145362973876,2.40545053082588,0.252010416976062,2.77719635537129,2.15166005120664,0.302126203284695,3.13472187451544,2.40875206147182,0.166800894566523
20,100,"sclust",2.24995725993546,1.8024855615557,0.431735270932454,3.43964648704442,2.66974522412143,0.162859361627468,3.17744097930952,2.47111321554335,0.0228041100352499,3.44627779148983,2.71383931864837,0.162647512486424,3.21363328162849,2.48875695003286,0.0856053900082877,3.41063994805687,2.65027519067428,0.0924112461334776
20,200,"sclust",1.56410536992055,1.17701004482933,0.794412564326834,3.37435421789724,2.75271906845455,0.00997035855930723,2.9408711994701,2.32546386356465,0.192871254862785,3.35627603917455,2.71188630944875,0.0134534811234157,2.8830852530234,2.24999489744888,0.25874544946538,3.15185561161483,2.44801873030976,0.16918775631488
20,300,"sclust",1.73197475853023,1.23126325024911,0.780273109808607,3.76421841018058,3.02001452725125,0.000466587274145175,3.51640066160968,2.76641326001164,0.0527696370352393,3.76284523182073,3.01805313130684,0.000805333898896226,2.93343213477146,2.27539744171934,0.228350019134878,3.18586762148595,2.4723844837296,0.132982317538765
20,100,"sregular",3.3411798284563,2.71214832871135,0.0991940602890367,3.62739787331966,2.84973093016946,0.000332650009026472,3.33878756799468,2.69045057623159,0.100682210639608,3.62646280704907,2.8233563881788,0.00334734599983923,2.88082496242822,2.248218158477,0.335107199713674,2.97517966813969,2.36995850287984,0.171857652192651
20,200,"sregular",2.99515208466057,2.37477320897752,0.313828298877799,3.254527930282,2.55652118295414,0.151792305592073,3.01238692124083,2.36655349557122,0.300749019056835,3.30752895414871,2.61221371964121,0.117518389250814,2.50738652507406,1.95148567220653,0.467061035778501,2.81636578815775,2.23438845149323,0.207544164091746
20,300,"sregular",2.56578360506132,1.99733371899144,0.404252395567582,2.89449374766149,2.20006644793312,0.195955027951889,2.60765768133832,2.02459493071001,0.380573279803135,2.86794822002835,2.19751034211524,0.218888758954496,2.47326365484405,1.92492952747492,0.509234939042159,2.80846762431782,2.22808822356831,0.218559477092144
20,100,"wregular",2.75322106418132,2.10252965292941,0.150847331115205,2.7221355013148,2.07185852968295,0.175259738479831,2.7066701564329,2.07021013167529,0.180899165610873,2.70109598636337,2.02860269508502,0.190229465866153,2.89816223025256,2.26730991530335,0.23981806378121,2.93021747997704,2.31809782121415,0.142184915978589
20,200,"wregular",2.50921684726275,1.99280719422257,0.434121331979305,2.76775783356746,2.1727739947025,0.277842935111906,2.48897542345865,1.96593369827687,0.444702593069039,2.76117613112795,2.13978544609374,0.283496211198982,2.64871126298778,2.07827723302263,0.385802498646431,2.84120124423342,2.26600881989598,0.203770501953728
20,300,"wregular",2.56812635380404,1.98796068324954,0.421990079724196,2.95059396941279,2.2766966020122,0.177964314156876,2.56985362964197,1.97553637363134,0.412866834522275,2.96270699618605,2.27748366039841,0.170456203707401,2.5088317068525,1.94510083806888,0.468515727325533,2.77419787245533,2.2101188279664,0.241015277312879
20,100,"random",3.06898033438055,2.37689741376356,0.122941087887654,3.18171806256854,2.46991802945661,0.0581209963396958,3.08581896073168,2.38628792449675,0.113282118267479,3.13754758037485,2.42690436032341,0.0830394080852905,2.87296014067521,2.24698472867157,0.288175419246322,2.91575470003417,2.33615987909021,0.161934039864145
20,200,"random",2.86376494576419,2.19147953219759,0.359355699462497,3.28842725646765,2.5635351351973,0.073030183032681,2.94606035752689,2.33657163565672,0.298049657159144,3.241231074396,2.52633597342343,0.0996318405062387,2.50998651909137,1.97016351690253,0.495695397193472,2.87351442887801,2.29401079192753,0.174351368444682
20,300,"random",2.49355217073468,1.93488886351759,0.370605163273871,2.81990451795382,2.23046649266735,0.130770372719817,2.48603857875754,1.92921209767246,0.375627848214011,2.80568033426935,2.21262223431101,0.140746825266092,2.58540444163174,2.00297964869279,0.48337785840706,2.81652041558533,2.22370597067576,0.222595790139553
20,100,"wclust",2.55627595846333,1.88939274140291,0.501380431715477,3.53095794561015,2.60312606726103,1.25999421584025e-05,3.20570204915017,2.42834089398779,0.108948211091608,3.48731998181023,2.58294058706022,0.00397356993985249,2.89493577847171,2.27370820844126,0.24164711891239,2.9773408424175,2.37291979531103,0.118369529464557
20,200,"wclust",2.22411647412032,1.78084542969511,0.736191319800123,4.00062109445194,3.08859353517542,0.0215932015312252,3.49316205304405,2.68595012045368,0.223179398413799,3.99057615781714,3.05540182804187,0.0230450455795576,2.73319249961241,2.12854201709979,0.325505257907696,2.98941843221632,2.36213092573394,0.11842222870612
20,300,"wclust",2.15057627550975,1.67055706184839,0.647715805699482,3.39939892273326,2.65143328604201,0.0363012651990246,2.96585700356999,2.30747238173833,0.259028448285597,3.41462979058898,2.66797644720779,0.0335872327707145,2.70382680467576,2.08651986529349,0.34695878302169,2.93865906180016,2.32203138703397,0.135886335856165
20,100,"sclust",2.07242212028352,1.51147858030696,0.710325926666726,3.1203442689079,2.47362573609799,0.349176245834994,2.93395452435071,2.27068024706332,0.466475462261001,3.17571448282484,2.52905004423172,0.319044836242595,3.06378868309774,2.37176663587841,0.170389781428272,3.00548693777523,2.39655014711846,0.117391005306681
20,200,"sclust",1.89753332291712,1.45618978153973,0.62883689652584,3.05444363144817,2.50904343705465,0.00875584115230577,2.80039603954179,2.25700381817658,0.114113275607618,3.01662828666963,2.47607391061571,0.0174738781758562,3.03431063374765,2.3397592646274,0.160816471350866,3.03050226159206,2.39335085643585,0.0912431724544699
20,300,"sclust",1.70701512206785,1.18885604283281,0.693667781871901,2.92752122727103,2.33174208219786,0.081713201178697,2.85269907100359,2.2466902385085,0.110336325821241,2.93129941292627,2.32256334504203,0.0812605732140954,2.92111441861542,2.26632724721115,0.234949707739802,2.95389675765282,2.34740974770454,0.139728751974187
20,100,"sregular",3.47667048273416,2.47413225944747,0.319761500085775,3.7669902995377,2.71940654633673,0.195252732489132,3.46107540167692,2.4243281231591,0.322406620499724,3.75925414841047,2.73910019883789,0.198871265148002,3.01016091257188,2.29355255773227,0.356179741391585,3.0276283339061,2.33529590426545,0.174365934283122
