"range","nsample","dsample","RMSE_LOO","MAE_LOO","R2_LOO","RMSE_bLOO","MAE_bLOO","R2_bLOO","RMSE_NDMinter","MAE_NDMinter","R2_NDMinter","RMSE_NDMextra","MAE_NDMextra","R2_NDMextra","RMSE_inter","MAE_inter","R2_inter","RMSE_extra","MAE_extra","R2_extra"
30,100,"sregular",2.56612930163631,1.9309808973543,0.0828467585438797,2.96017513400554,2.15455067943652,0.00386268193014303,2.57484584373603,1.9488152971111,0.0763056246760849,3.00440266533055,2.2238915225714,0.0141444774732372,2.95741376098735,2.25677468952657,0.23566030429487,3.09817046751681,2.46148961085692,0.00105822306454625
30,200,"sregular",2.65267303488321,2.04010750363222,0.362870568027224,3.21317166213758,2.37425183738095,0.0331981710876122,2.57717110332771,2.00787588772125,0.407666402449717,3.18473868792577,2.37640938090071,0.040637096127008,2.42454464550845,1.87198002926697,0.524373903771776,2.68073937880913,2.13077038390198,0.199153309427229
30,300,"sregular",2.55106403458306,1.996159931994,0.385337261949756,3.30423825892469,2.47644098365463,0.00534159795989068,2.54425081498748,1.98481483038828,0.388264104818716,3.27332008354391,2.44846880560005,0.00766766582653173,2.34709174271913,1.81084335217794,0.567848252193757,2.80533707880285,2.23638058835244,0.129228596200642
30,100,"wregular",3.26447157258533,2.43644893836585,0.191939357242188,4.00610101675285,2.992500114456,0.0292336629677311,3.2555777911832,2.4360844305398,0.192774418154547,3.94120897082446,2.96600941548516,0.0116680282519997,2.76214732797669,2.12649259579122,0.318487896980782,2.96815771218495,2.35029693228226,0.0543229145032958
30,200,"wregular",2.44773989324657,1.84665912634649,0.439588862262932,3.21150525435756,2.34469673579623,0.0102952788532283,2.50626063549833,1.87921865855928,0.402067971026603,3.16136254282843,2.31839194196418,0.0208061494131109,2.55242634725856,1.96833080750615,0.458642782024249,2.93955280822359,2.3304943018811,0.0887558004374415
30,300,"wregular",2.39732907317395,1.89458643677024,0.550257752355684,3.52047391543929,2.61532068823072,0.0107977306751987,2.40552879834926,1.8866334540052,0.54679820101567,3.49262528628525,2.60682728004042,0.0175435212733051,2.30634287721006,1.77045764676947,0.545025587531938,2.76196584544871,2.20596606573063,0.152887592903166
30,100,"random",2.92818054876406,2.3499258087879,0.308448714329716,3.32703350310445,2.62796974706632,0.0986883012186116,2.97212717155124,2.37487939628016,0.282293536390045,3.32434404155549,2.61114759987104,0.0981454089792594,2.79188795476684,2.11787395269003,0.333559006759279,2.7970565912744,2.22582888393499,0.111124995677838
30,200,"random",2.49760014795596,1.94580093654873,0.535601373634797,3.65756851368363,2.63154437319813,0.00126900431166276,2.50947457659221,1.9471630060906,0.53076964376326,3.70623080738619,2.66841636556657,0.000335368909914694,2.60022321033095,1.98540458630285,0.408860839212377,2.82787670776422,2.22603767116339,0.10231022839932
30,300,"random",2.22578597185055,1.6873539370138,0.580400298753769,3.26079142796155,2.42664018987562,0.00745986532339596,2.26714608551065,1.740259066284,0.551234744446089,3.2529230660769,2.41076663661657,0.00959445747098157,2.4096022719574,1.86227084585776,0.501344204845846,2.84667831039454,2.26076657830124,0.107341003632582
30,100,"wclust",2.15197900457842,1.58650231129708,0.584700648624194,3.32677239605097,2.49729157387486,0.000584061252909926,2.97033803754764,2.20596485537244,0.113750574382811,3.43421224050226,2.57254599222219,0.0200966796129114,2.90729710031008,2.23463691842822,0.244478032948381,2.77802752589715,2.18339178062648,0.126229539070089
